agent-authorisation-api,agent-authorisation-api-1.0.yaml
agent-authorisation-test-support-api,agent-authorisation-test-support-api-1.0.yaml
api-example-microservice,api-example-microservice-1.0.yaml
api-notification-pull,api-notification-pull-1.0.yaml
api-platform-test-user,api-platform-test-user-1.0.yaml
business-details-api,business-details-api-1.0.yaml
check-eori-number-api,check-eori-number-api-1.0.yaml
cis-deductions-api,cis-deductions-api-1.0.yaml
common-transit-convention-traders,common-transit-convention-traders-1.0.yaml
customs-inventory-linking-exports,customs-inventory-linking-exports-1.0.yaml
goods-movement-system-haulier-api,goods-movement-system-haulier-api-1.0.yaml
individual-benefits,individual-benefits-1.1.yaml
individual-calculations-api,individual-calculations-api-2.0.yaml
individual-employment-1.2,individual-employment-1.2.yaml
individual-income-1.2,individual-income-1.2.yaml
individual-losses-api,individual-losses-api-2.0.yaml
individuals-business-eops-api,individuals-business-eops-api-1.0.yaml
individuals-charges-api,individuals-charges-api-1.0.yaml
individuals-disclosures-api,individuals-disclosures-api-1.0.yaml
individuals-expenses-api,individuals-expenses-api-1.0.yaml
individuals-income-received-api,individuals-income-received-api-1.0.yaml
individuals-reliefs-api,individuals-reliefs-api-1.0.yaml
individuals-state-benefits-api,individuals-state-benefits-api-1.0.yaml
individual-tax,individual-tax-1.1.yaml
interest-restriction-return,interest-restriction-return-1.0.yaml
lisa-api,lisa-api-2.0.yaml
marriage-allowance,marriage-allowance-2.0.yaml
marriage-allowance-des-stub,marriage-allowance-des-stub-1.0.yaml
national-insurance,national-insurance-1.1.yaml
national-insurance-des-stub,national-insurance-des-stub-1.0.yaml
obligations-api,obligations-api-1.0.yaml
other-deductions-api,other-deductions-api-1.0.yaml
paye-des-stub,paye-des-stub-1.0.yaml
property-business-api,property-business-api-1.0.yaml
push-pull-notifications-api,push-pull-notifications-api-1.0.yaml
ras-api-,ras-api-2.0.yaml
secure-data-exchange-bulk-download,secure-data-exchange-bulk-download-1.0.yaml
self-assessment-accounts-api,self-assessment-accounts-api-1.0.yaml
self-assessment-api,self-assessment-api-2.0.yaml
self-assessment-biss-api,self-assessment-biss-api-1.0.yaml
self-assessment-bsas-api,self-assessment-bsas-api-2.0.yaml
txm-fph-validator-api,txm-fph-validator-api-1.0.yaml
vat-api,vat-api-1.0.yaml
vat-registered-companies-api,vat-registered-companies-api-1.0.yaml
